Episode,Score
379,-326.3248827622781
380,-270.06078769602806
381,-290.71311289604773
382,-302.93538818424815
383,-287.573402231659
384,-370.8618382810325
385,-301.4606305881418
386,-327.6233997014115
387,-303.709487276749
388,-287.9876556785388
389,-260.7798796905382
390,-277.0481115971214
391,-286.0800622914873
392,-253.90023224533647
393,-248.74304885615066
394,-255.69253294403936
395,-278.81313305446844
396,-304.4923021560709
397,-311.2420686208335
398,-320.02071247664304
399,-285.638322625313
400,-286.71735399320875
401,-300.7125981222182
402,-294.16092905728647
403,-273.39356689575663
404,-303.3131483457226
405,-319.063553006863
406,-299.25596097097355
407,-321.9036942576698
408,-282.7655636995152
409,-287.6328395756782
410,-296.39511649580555
411,-246.62239786678867
412,-257.62227320553404
413,-298.33121056532536
414,-219.4260489524209
415,-314.70443716202243
416,-298.04797933912755
417,-262.4353751754141
418,-233.82885662665322
419,-312.6057404467665
420,-261.3882471439609
421,-273.4553267128822
422,-316.74491402193223
423,-333.6373715385141
424,-308.6736004672053
425,-294.6996594850491
426,-324.9342626900533
427,-269.8839332183877
428,-238.50762898648907
429,-272.2528841263435
430,-285.6882930010668
431,-266.4360228908172
432,-331.69331422193994
433,-286.3878270254821
434,-267.484276425317
435,-204.55724992340262
436,-277.5521325730956
437,-282.99760546158996
438,-266.92246263191157
439,-289.68738765293176
440,-235.73608429416012
441,-255.4926500682597
442,-216.26312555546733
443,-290.13200015115603
444,-305.09104750149646
445,-242.9379725382016
446,-310.33211324416493
447,-297.5833313542501
448,-268.26944777079837
449,-297.139857121056
450,-277.0148911935667
451,-273.9260249633719
452,-275.0918846275705
453,-264.59215091250184
454,-282.5334349197542
455,-245.61676688819
456,-308.1842434199299
457,-286.3141875883596
458,-284.43140994882503
459,-290.9627235543979
460,-269.65072915283906
461,-285.08800533092256
462,-300.3105904232491
463,-273.59666707811255
464,-262.6672700304249
465,-302.35618372794704
466,-292.93330020230906
467,-263.9207252711439
468,-268.84300090235354
469,-264.9012515965513
470,-279.2434781515616
471,-301.52135961349666
472,-292.15673837246777
473,-301.86187961643367
474,-310.560740317458
475,-269.6916568643898
476,-265.0236332208152
477,-201.87964366237475
478,-295.0309346012557
479,-264.2739872130147
480,-281.295545796529
481,-239.3068939428337
482,-301.8906179126624
483,-287.17479895262056
484,-281.2335585083391
485,-308.20928711706006
486,-289.7194376535735
487,-290.17194627027425
488,-299.9196555170452
489,-281.7458174723292
490,-300.9497542352433
491,-302.29426589006954
492,-249.72719814833363
493,-298.8682104802717
494,-262.93800687485884
495,-256.7851862428696
496,-308.1959978752934
497,-276.02885026158583
498,-261.3416143688552
499,-285.89010938241773
500,-282.88596321969305
501,-279.6259247609496
502,-272.5002722910789
503,-276.86387795479186
504,-281.37471727721925
505,-269.48054277791346
506,-288.9976807615675
507,-275.0301857463443
508,-281.29584842197846
509,-275.254333226708
510,-274.099430546112
511,-281.99290204717306
512,-280.3251899931414
513,-248.05969978703078
514,-277.79228025941495
515,-276.1966508904561
516,-239.46129187007094
517,-275.88143643345086
518,-259.6096067808289
519,-277.6121908115076
520,-258.26163638713774
521,-273.32433591655933
522,-285.1327489415961
523,-273.32433591655933
524,-275.7463657291339
525,-277.3159566998646
526,-275.1501026883972
527,-283.3234099804798
528,-277.5062819768133
529,-281.4597487074708
530,-268.62410318736227
531,-268.8695102028289
532,-277.3119652224624
533,-276.6825208257171
534,-271.47087126095767
535,-265.35103046309723
536,-259.4278533389662
537,-269.1524957714596
538,-270.8281129143602
539,-280.509143477439
540,-280.4641254310104
541,-269.7484592811645
542,-261.19868924141304
543,-258.743886107134
544,-258.3955779765954
545,-227.03189788051526
546,-265.4596947091977
547,-236.9720579755998
548,-263.3571419371555
549,-273.3517702076757
550,-262.01082698699804
551,-259.60301418079223
552,-263.09027361765743
553,-259.85208486481093
554,-266.9073423088952
555,-264.5351219209474
556,-251.81643668954416
557,-258.0098847011353
558,-253.02458119965306
559,-256.83228432205414
560,-265.7221330340483
561,-252.64745239432344
562,-250.95454884236452
563,-253.53704696366216
564,-243.87820079917833
565,-242.36978502402906
566,-232.72590221043498
567,-243.44152356626304
568,-245.20091742164925
569,-241.71516082807938
570,-241.87237500945182
571,-220.15285077200815
572,-224.51766600877676
573,-240.0940426482037
574,-240.12318011141036
575,-234.1108958475979
576,-205.29649607979468
577,-231.3139630882952
578,-242.19654859613397
579,-239.81319900311055
580,-237.27877000941766
581,-172.42787510752328
582,-211.71733522621844
583,-224.8223838063587
584,-208.85903956153714
585,-232.48104946557154
586,-226.62394128333514
587,-224.50647567443167
588,-183.0669735685126
589,-201.76928022843987
590,-241.44972305333596
591,-186.35854210303376
592,-171.72943690232412
593,-181.8003604406623
594,-197.89535377038231
595,-201.16111461805315
596,-198.92274558018502
597,-177.85855477942002
598,-189.74873681985997
599,-195.42458319078816
600,-282.0320959027383
601,-192.64731008795908
602,-192.86393387290985
603,-156.2666243893613
604,-183.48188936279973
605,-173.78578056757658
606,-298.8839441789115
607,-257.3893870225524
608,-165.61926400758614
609,-341.70342215571225
610,-165.4601399639922
611,-2.921538596379577
612,-150.13814841285182
613,-158.79600044822115
614,-41.28028948561384
615,5.428897745591598
616,-44.10169000891011
617,-81.32537136911486
618,-102.84498541230488
619,-117.2758173141188
620,-22.42098994492666
621,-117.33183918132181
622,-121.1880259696859
623,-127.02763932674718
624,-110.23447474240211
625,-117.6725296778747
626,-118.6466968994031
627,-118.6745906828374
628,-110.74442259055259
629,-116.18295187632057
630,-111.57820899916858
631,-122.3214619877838
632,-109.24933070227709
633,-109.24933070227709
634,-109.24933070227709
635,-111.4088024764243
636,-108.28933889978197
637,-120.82403272600877
638,-111.36354669996186
639,-111.05059085518175
640,-125.01032182331491
641,-116.14319417690261
642,-125.77789791430466
643,-99.81602091037644
644,-114.64613770336138
645,-118.97914017531713
646,-96.48965596256545
647,-109.78256615611618
648,-101.02728384380673
649,-101.02728384380673
650,-106.35720256858365
651,-119.44397353854093
652,-123.75014458368258
653,-104.39054852749076
654,-92.48244595169872
655,-95.68000588270858
656,-83.11472897990728
657,-131.76698953303728
658,-106.0273272434827
659,-59.3821281391333
660,-102.65946980050026
661,-98.62774088280331
662,-104.64395133190658
663,-98.87775661245594
664,-100.13958063473419
665,-95.8815584426061
666,-92.44011910631636
667,-87.8337890090822
668,-107.04900169688544
669,-100.67204499658118
670,-100.63472553175228
671,-86.28600128959576
672,-91.77165600460903
673,-96.67816346981851
674,-103.27841558248853
675,-96.28989757544426
676,-94.56653632970921
677,-101.56662535803045
678,-93.02617112922245
679,-96.59625874315975
680,-110.84995056133482
681,-101.10747908627914
682,-101.10747908627914
683,-101.10747908627914
684,-100.61820885000816
685,-110.08442366493765
686,-109.20981958418722
687,-99.28986214096925
688,-79.75512897750504
689,-74.97972947294848
690,-88.01009289279108
691,-90.61383491098555
692,-78.77130807245997
693,-100.92402496960167
694,-84.33173948708189
695,-80.70562932593108
696,-90.59543074061546
697,-81.79957237029005
698,-72.74247155195258
699,-81.75533416231649
700,-84.08768208660948
701,-79.21480028595812
702,-79.21480028595812
703,-74.45915372453823
704,-82.25416436019641
705,-72.9234153816415
706,-80.58923054493283
707,-86.68664490472473
708,-81.45831757750304
709,-78.68436592415252
710,-81.86432927008764
711,-73.3086311057573
712,-85.84800876123865
713,-78.26629986893099
714,-78.26629986893099
715,-74.60451157078293
716,-77.8121459009854
717,-73.58823969553526
718,-71.77717566926458
719,-73.09382864078063
720,-73.06571189693345
721,-73.06571189693345
722,-73.06571189693345
723,-77.61532766678866
724,-80.85445840174057
725,-71.45369279612567
726,-75.56004488870525
727,-67.31716937008042
728,-73.0890211729314
729,-67.56848434190556
730,-77.68088693021224
731,-72.01061930188753
732,-78.55377939414626
733,-78.55377939414626
734,-78.55377939414626
735,-82.84242396294566
736,-73.88658623417797
737,-67.68251579791337
738,-65.69494264520102
739,-73.58342444839775
740,-68.89371277417104
741,-60.40788126690192
742,-67.68251579791337
743,-67.68251579791337
744,-67.09273701847127
745,-67.68251579791337
746,-73.97931212120476
747,-74.3497348139067
748,-75.21278088218688
749,-52.981262152384616
750,-74.26615232554914
751,-80.25438702354342
752,-52.981262152384616
753,-75.89117045944721
754,-55.64728183415387
